Gene/Build	Transcript/Chr	Region	Amplicon	Start Pos	End Pos	Chromosome	GRCh37 Genomic ID	GRCh37 Genomic Start	GRCh37 Genomic End
ACTA2	NM_001613.2	Exon 02	02	c.-15	c.129+15	10	NC_000010.10	90708702	90708544
ACTA2	NM_001613.2	Exon 03	03	c.130-15	c.258+15	10	NC_000010.10	90707158	90707000
ACTA2	NM_001613.2	Exon 04	04	c.259-15	c.369+15	10	NC_000010.10	90703679	90703539
ACTA2	NM_001613.2	Exon 05	05	c.370-15	c.454+15	10	NC_000010.10	90701641	90701527
ACTA2	NM_001613.2	Exon 06	06	c.455-15	c.616+15	10	NC_000010.10	90701162	90700971
ACTA2	NM_001613.2	Exon 07	07	c.617-15	c.808+15	10	NC_000010.10	90699470	90699249
ACTA2	NM_001613.2	Exon 08	08	c.809-15	c.990+15	10	NC_000010.10	90698014	90697803
ACTA2	NM_001613.2	Exon 09	09	c.991-15	c.*15	10	NC_000010.10	90695138	90694965
ACTC1	NM_005159.4	Exon 01	01	c.-15	c.129+15	15	NC_000015.9	35087024	35086866
ACTC1	NM_005159.4	Exon 02	02	c.130-15	c.454+15	15	NC_000015.9	35085785	35085431
ACTC1	NM_005159.4	Exon 03	03	c.455-15	c.616+15	15	NC_000015.9	35084785	35084594
ACTC1	NM_005159.4	Exon 04	04	c.617-15	c.808+15	15	NC_000015.9	35084497	35084276
ACTC1	NM_005159.4	Exon 05	05	c.809-15	c.990+15	15	NC_000015.9	35083511	35083300
ACTC1	NM_005159.4	Exon 06	06	c.991-15	c.*15	15	NC_000015.9	35082771	35082598
APC	NM_000038.4	Exon 01	01	c.-15	c.135+15	5	NC_000005.9	112090573	112090737
APC	NM_000038.4	Exon 02	02	c.136-15	c.220+15	5	NC_000005.9	112102008	112102122
APC	NM_000038.4	Exon 03	03	c.221-15	c.422+15	5	NC_000005.9	112102871	112103102
APC	NM_000038.4	Exon 04	04	c.423-15	c.531+15	5	NC_000005.9	112111311	112111449
APC	NM_000038.4	Exon 05	05	c.532-15	c.645+15	5	NC_000005.9	112116472	112116615
APC	NM_000038.4	Exon 06	06	c.646-15	c.729+15	5	NC_000005.9	112128128	112128241
APC	NM_000038.4	Exon 07	07	c.730-15	c.834+15	5	NC_000005.9	112136961	112137095
APC	NM_000038.4	Exon 08	08	c.835-15	c.933+15	5	NC_000005.9	112151177	112151305
APC	NM_000038.4	Exon 09	09	c.934-15	c.1312+15	5	NC_000005.9	112154648	112155056
APC	NM_000038.4	Exon 10	10	c.1313-15	c.1408+15	5	NC_000005.9	112157578	112157703
APC	NM_000038.4	Exon 11	11	c.1409-15	c.1548+15	5	NC_000005.9	112162790	112162959
APC	NM_000038.4	Exon 12	12	c.1549-15	c.1626+15	5	NC_000005.9	112163611	112163718
APC	NM_000038.4	Exon 13	13	c.1627-15	c.1743+15	5	NC_000005.9	112164538	112164684
APC	NM_000038.4	Exon 14	14	c.1744-15	c.1958+15	5	NC_000005.9	112170633	112170877
